YCSB Client 0.1
Command line: -load -db com.yahoo.ycsb.db.MapKeeperClient -P workloads/workloada -p measurementtype=timeseries -p timeseries.granularity=2000 -s
 0 sec: 0 operations; 
 1810 sec: 6824552 operations; 3474.96 current ops/sec;  
 1820 sec: 6858574 operations; 3401.52 current ops/sec;  
 1830 sec: 6892797 operations; 3421.27 current ops/sec;  
 1840 sec: 6929105 operations; 3629.71 current ops/sec;  
 1850 sec: 6964322 operations; 3521 current ops/sec;  
 1860 sec: 6998855 operations; 3452.26 current ops/sec;  
 1870 sec: 7033226 operations; 3436.07 current ops/sec;  
 1880 sec: 7054944 operations; 2171.37 current ops/sec;  
 1890 sec: 7079337 operations; 2438.57 current ops/sec;  
 1900 sec: 7116192 operations; 3684.39 current ops/sec;  
 1910 sec: 7152303 operations; 3610.02 current ops/sec; [INSERT AverageLatency(ms)=7.5] 
 1920 sec: 7188224 operations; 3591.38 current ops/sec;  
 1930 sec: 7224693 operations; 3645.81 current ops/sec;  
 1940 sec: 7258883 operations; 3417.97 current ops/sec;  
 1950 sec: 7294061 operations; 3517.1 current ops/sec;  
 1960 sec: 7328204 operations; 3413.28 current ops/sec;  
 1970 sec: 7363405 operations; 3519.04 current ops/sec;  
 1980 sec: 7397768 operations; 3434.93 current ops/sec;  
 1990 sec: 7432817 operations; 3503.85 current ops/sec;  
 2000 sec: 7466432 operations; 3360.49 current ops/sec; [INSERT AverageLatency(ms)=11] 
 2010 sec: 7502431 operations; 3599.18 current ops/sec;  
 2020 sec: 7537523 operations; 3508.15 current ops/sec;  
 2030 sec: 7558726 operations; 2119.66 current ops/sec;  
 2040 sec: 7584213 operations; 2547.94 current ops/sec;  
 2050 sec: 7618361 operations; 3413.78 current ops/sec;  
 2060 sec: 7653813 operations; 3544.14 current ops/sec; [INSERT AverageLatency(ms)=18.43] 
 2070 sec: 7689175 operations; 3535.49 current ops/sec;  
 2080 sec: 7724788 operations; 3560.23 current ops/sec; [INSERT AverageLatency(ms)=20] 
