YCSB Client 0.1
Command line: -load -db com.yahoo.ycsb.db.MapKeeperClient -P workloads/workloada -p measurementtype=timeseries -p timeseries.granularity=2000 -s
 0 sec: 0 operations; 
[INSERT], MaxLatency(ms), 160971
[INSERT], Return=0, 9999966
[INSERT], 0, 5.9404035240701205
[INSERT], 2000, 7.432227347120964
[INSERT], 4000, 6.550311169341631
[INSERT], 6000, 6.822285245677578
[INSERT], 8000, 6.492442237097819
[INSERT], 10000, 11.428994082840237
[INSERT], 12000, 6.899270880127164
[INSERT], 14000, 6.360166793990324
[INSERT], 16000, 7.084286169421927
[INSERT], 18000, 7.0284316440505865
[INSERT], 20000, 10.674890332794618
[INSERT], 22000, 6.750346646826068
[INSERT], 24000, 6.389495878857581
[INSERT], 26000, 6.4676808545072015
[INSERT], 28000, 6.374577226606539
[INSERT], 30000, 10.528597003674738
[INSERT], 32000, 18.4407093033028
[INSERT], 34000, 6.406596576703635
[INSERT], 36000, 6.81343792633015
[INSERT], 38000, 6.553259779338014
[INSERT], 40000, 15.955897228403803
[INSERT], 42000, 7.435427055217531
[INSERT], 44000, 11.827971469898747
[INSERT], 46000, 6.7339752221922975
[INSERT], 48000, 7.0656074171060546
[INSERT], 50000, 7.006145984393343
[INSERT], 52000, 11.899968117328232
[INSERT], 54000, 6.520710252309299
[INSERT], 56000, 6.9253405427888115
[INSERT], 58000, 6.770841805612037
[INSERT], 60000, 7.2279864838004375
[INSERT], 62000, 12.274628879892038
[INSERT], 64000, 18.61265164644714
[INSERT], 66000, 7.08102726086658
[INSERT], 68000, 6.978827304754264
[INSERT], 70000, 6.875813393010845
[INSERT], 72000, 7.119131384204779
[INSERT], 74000, 10.645230818722856
[INSERT], 76000, 28.762243502051984
[INSERT], 78000, 6.688238246612013
[INSERT], 80000, 6.858497046297568
[INSERT], 82000, 7.415032073862583
[INSERT], 84000, 38.420767144517626
[INSERT], 86000, 6.0095846645367414
[INSERT], 88000, 20.494667532226654
[INSERT], 90000, 6.693329763378962
[INSERT], 92000, 6.8179709353892335
[INSERT], 94000, 6.799249530956848
[INSERT], 96000, 23.864943872778298
[INSERT], 98000, 7.789087947882736
[INSERT], 100000, 14.46880854902505
[INSERT], 102000, 6.8044982109388314
[INSERT], 104000, 6.915788382459657
[INSERT], 106000, 7.074383350462488
[INSERT], 108000, 18.007062255315883
[INSERT], 110000, 6.395501768346596
[INSERT], 112000, 15.05536717177069
[INSERT], 114000, 7.221121873644644
[INSERT], 116000, 7.130639802807845
[INSERT], 118000, 6.968171567167355
[INSERT], 120000, 17.881992279161306
[INSERT], 122000, 8.741977429991177
[INSERT], 124000, 15.228585836755277
[INSERT], 126000, 9.030734463276836
[INSERT], 128000, 8.935770795154875
[INSERT], 130000, 9.08108108108108
[INSERT], 132000, 9.507667070822338
[INSERT], 134000, 21.085436278775415
[INSERT], 136000, 19.302140612725843
[INSERT], 138000, 10.637060367454069
[INSERT], 140000, 9.23124740986324
[INSERT], 142000, 9.01563696994277
[INSERT], 144000, 9.002567914583052
[INSERT], 146000, 9.020775296284055
[INSERT], 148000, 37.51022972002872
[INSERT], 150000, 9.74277494442265
[INSERT], 152000, 20.81391102257636
[INSERT], 154000, 9.152119129438717
[INSERT], 156000, 9.139662505144738
[INSERT], 158000, 8.923173072630686
[INSERT], 160000, 8.953712416543443
[INSERT], 162000, 9.121761327377154
[INSERT], 164000, 17.56655965757089
[INSERT], 166000, 39.679563492063494
[INSERT], 168000, 9.076682102969219
[INSERT], 170000, 8.930692627160273
[INSERT], 172000, 9.769944863283447
[INSERT], 174000, 8.871428571428572
[INSERT], 176000, 7.478655102500563
[INSERT], 178000, 16.0401705296025
[INSERT], 180000, 9.422488274500123
[INSERT], 182000, 13.621703630144543
[INSERT], 184000, 7.915498534885563
[INSERT], 186000, 7.838056362351833
[INSERT], 188000, 7.4137739207832665
[INSERT], 190000, 33.722999157540016
[INSERT], 192000, 6.048691770346794
[INSERT], 194000, 19.954176836469568
[INSERT], 196000, 6.879158344238584
[INSERT], 198000, 6.814619005389181
[INSERT], 200000, 7.244857236149911
[INSERT], 202000, 33.35632183908046
[INSERT], 204000, 6.715924881883511
[INSERT], 206000, 19.724267854084605
[INSERT], 208000, 7.797280448842827
[INSERT], 210000, 7.369758436289876
[INSERT], 212000, 7.0920201804874585
[INSERT], 214000, 6.817876559002238
[INSERT], 216000, 11.641870316063864
[INSERT], 218000, 30.434226552984164
[INSERT], 220000, 9.294683968187526
[INSERT], 222000, 9.439204196399036
[INSERT], 224000, 9.616772517321015
[INSERT], 226000, 10.247104049205536
[INSERT], 228000, 13.285299049748463
[INSERT], 230000, 17.80508045103256
[INSERT], 232000, 27.260668029993184
[INSERT], 234000, 9.83682708394843
[INSERT], 236000, 10.002169635198547
[INSERT], 238000, 10.194510438255067
[INSERT], 240000, 9.899732620320856
[INSERT], 242000, 10.115888512317264
[INSERT], 244000, 9.764677183281835
[INSERT], 246000, 16.431619176624256
[INSERT], 248000, 28.762873215058416
[INSERT], 250000, 10.330528163560329
[INSERT], 252000, 10.192485872830016
[INSERT], 254000, 10.091046811089228
[INSERT], 256000, 9.80939524838013
[INSERT], 258000, 9.933876811594203
[INSERT], 260000, 49.20597522467816
[INSERT], 262000, 9.523269658849717
[INSERT], 264000, 28.550059515937047
[INSERT], 266000, 10.175066177967828
[INSERT], 268000, 9.96877809971026
[INSERT], 270000, 9.876047727048615
[INSERT], 272000, 9.793243574051408
[INSERT], 274000, 9.92260338579159
[INSERT], 276000, 50.0543043043043
[INSERT], 278000, 9.218197831232455
[INSERT], 280000, 25.765926748057712
[INSERT], 282000, 10.166946436746528
[INSERT], 284000, 10.343801738410596
[INSERT], 286000, 10.005222194325885
[INSERT], 288000, 10.056781701444622
[INSERT], 290000, 10.179467247097843
[INSERT], 384000, 499.1967937792927
[INSERT], 386000, 54.51735106998265
[INSERT], 388000, 10.980247025701571
[INSERT], 390000, 9.140467157288477
[INSERT], 392000, 9.079323974376448
[INSERT], 394000, 9.118505678967294
[INSERT], 396000, 9.349832390530064
[INSERT], 398000, 33.87802265074993
[INSERT], 400000, 11.61742495163203
[INSERT], 402000, 16.785131103783954
[INSERT], 404000, 9.206600903475616
[INSERT], 406000, 8.998649196271781
[INSERT], 408000, 9.23634934578575
[INSERT], 410000, 9.69612365063788
[INSERT], 412000, 9.892228370221329
[INSERT], 422000, 68.51222635526557
[INSERT], 424000, 41.38679635761589
[INSERT], 426000, 32.88439401414241
[INSERT], 428000, 9.90458261084964
[INSERT], 430000, 10.115850260878375
[INSERT], 432000, 10.109157953225235
[INSERT], 434000, 10.14432779533177
[INSERT], 436000, 9.529615731724695
[INSERT], 438000, 51.80875874578906
[INSERT], 440000, 9.465136989889466
[INSERT], 442000, 25.434076137418757
[INSERT], 444000, 9.247258594364503
[INSERT], 446000, 9.224790109788726
[INSERT], 448000, 9.237976322604514
[INSERT], 450000, 9.635152926878671
[INSERT], 452000, 12.7357624643627
[INSERT], 454000, 37.65540765391015
[INSERT], 456000, 12.34472049689441
[INSERT], 458000, 22.79533195020747
[INSERT], 460000, 12.993221433182699
[INSERT], 462000, 11.521055360331816
[INSERT], 464000, 10.561156020499816
[INSERT], 466000, 10.404621870608443
[INSERT], 468000, 10.638434921479904
[INSERT], 470000, 10.469983775013521
[INSERT], 472000, 19.13219696969697
[INSERT], 474000, 26.6235624498529
[INSERT], 476000, 10.046417305092383
[INSERT], 478000, 9.960711084553331
[INSERT], 480000, 10.198816084915288
[INSERT], 482000, 10.609097181678255
[INSERT], 484000, 10.761768575187325
[INSERT], 486000, 11.774625050668828
[INSERT], 488000, 18.688893110435664
[INSERT], 490000, 32.976625514403295
[INSERT], 492000, 11.681023902752615
[INSERT], 494000, 10.39964623868484
[INSERT], 496000, 10.49182568469747
[INSERT], 498000, 10.246765249537892
[INSERT], 500000, 10.785142181368597
[INSERT], 502000, 10.688605037165331
[INSERT], 504000, 26.088732248367368
[INSERT], 506000, 8.6537514209928
