YCSB Client 0.1
Command line: -load -db com.yahoo.ycsb.db.MapKeeperClient -P workloads/workloada -p measurementtype=timeseries -p timeseries.granularity=1000 -s
 0 sec: 0 operations; 
 192 sec: 8506711 operations; 45163.67 current ops/sec;  
 193 sec: 8550737 operations; 43938.12 current ops/sec;  
 194 sec: 8595838 operations; 45010.98 current ops/sec; [INSERT AverageLatency(ms)=5] 
 195 sec: 8638080 operations; 42157.68 current ops/sec; [INSERT AverageLatency(ms)=7] 
 196 sec: 8681746 operations; 43578.84 current ops/sec;  
 197 sec: 8725937 operations; 44102.79 current ops/sec;  
 198 sec: 8770366 operations; 44340.32 current ops/sec; [INSERT AverageLatency(ms)=7] 
 199 sec: 8813320 operations; 42868.26 current ops/sec;  
 200 sec: 8858992 operations; 45580.84 current ops/sec;  
 201 sec: 8903715 operations; 44633.73 current ops/sec;  
 202 sec: 8947939 operations; 44135.73 current ops/sec;  
 203 sec: 8991736 operations; 43709.58 current ops/sec;  
 204 sec: 9034471 operations; 42649.7 current ops/sec; [INSERT AverageLatency(ms)=7] 
 205 sec: 9079456 operations; 44895.21 current ops/sec;  
 206 sec: 9124275 operations; 44729.54 current ops/sec;  
 207 sec: 9170109 operations; 45742.51 current ops/sec; [INSERT AverageLatency(ms)=5.29] 
 208 sec: 9213659 operations; 43463.07 current ops/sec;  
 209 sec: 9257923 operations; 44175.65 current ops/sec; [INSERT AverageLatency(ms)=5] 
 210 sec: 9302143 operations; 44131.74 current ops/sec;  
 211 sec: 9346983 operations; 44750.5 current ops/sec;  
 212 sec: 9392182 operations; 45153.85 current ops/sec;  
 213 sec: 9437634 operations; 45361.28 current ops/sec; [INSERT AverageLatency(ms)=8] 
 214 sec: 9481714 operations; 43992.02 current ops/sec;  
 215 sec: 9526432 operations; 44628.74 current ops/sec; [INSERT AverageLatency(ms)=8] 
 216 sec: 9570101 operations; 43581.84 current ops/sec;  
 217 sec: 9615858 operations; 45665.67 current ops/sec;  
 218 sec: 9662412 operations; 46461.08 current ops/sec;  
 219 sec: 9708369 operations; 45865.27 current ops/sec; [INSERT AverageLatency(ms)=5.16] 
 220 sec: 9754799 operations; 46337.33 current ops/sec; [INSERT AverageLatency(ms)=6] 
 221 sec: 9799652 operations; 44763.47 current ops/sec;  
 222 sec: 9844564 operations; 44822.36 current ops/sec;  
 223 sec: 9889108 operations; 44455.09 current ops/sec;  
 224 sec: 9934310 operations; 45111.78 current ops/sec;  
 225 sec: 9979104 operations; 44704.59 current ops/sec; [INSERT AverageLatency(ms)=8] 
 225 sec: 9999900 operations; 44059.32 current ops/sec;  
[OVERALL], RunTime(ms), 225948.0
[OVERALL], Throughput(ops/sec), 44257.970860551985
[INSERT], Operations, 9999900
[INSERT], AverageLatency(ms), 6.766332863328634
[INSERT], MinLatency(ms), 0
[INSERT], MaxLatency(ms), 36
[INSERT], Return=0, 9999839
[INSERT], 0, 7.4518851126422545
[INSERT], 1000, 6.783560090702948
[INSERT], 2000, 6.8441095890410955
[INSERT], 3000, 6.641562002476561
[INSERT], 4000, 6.864726655659512
[INSERT], 5000, 7.106584186575654
[INSERT], 6000, 6.529782135076252
[INSERT], 7000, 6.637196336121067
[INSERT], 8000, 6.655911111111111
[INSERT], 9000, 6.534684095860566
[INSERT], 10000, 6.775343332128659
[INSERT], 11000, 6.9174667651403245
[INSERT], 12000, 6.878094669940114
[INSERT], 13000, 7.0212765957446805
[INSERT], 14000, 6.494131939171747
[INSERT], 15000, 7.002128206927196
[INSERT], 16000, 6.84128031302607
[INSERT], 17000, 6.764507514032229
[INSERT], 18000, 6.653730352003542
[INSERT], 19000, 6.661446532498112
[INSERT], 20000, 6.650143183785824
[INSERT], 21000, 6.716288354566661
[INSERT], 22000, 6.771036165262373
[INSERT], 23000, 6.825045495905369
[INSERT], 24000, 7.000911491808259
[INSERT], 25000, 6.8608104706770705
[INSERT], 26000, 6.903232500230564
[INSERT], 27000, 6.882195479088496
[INSERT], 28000, 6.683872120021433
[INSERT], 29000, 6.941574074074074
[INSERT], 30000, 6.843597685965472
[INSERT], 31000, 6.580100070224719
[INSERT], 32000, 6.704708038987749
[INSERT], 33000, 6.734617117117117
[INSERT], 34000, 6.70324384787472
[INSERT], 35000, 6.791386241474322
[INSERT], 36000, 7.027248850952068
[INSERT], 37000, 6.806371882086168
[INSERT], 38000, 6.804519979124595
[INSERT], 39000, 6.789189801699717
[INSERT], 40000, 6.701849153872016
[INSERT], 41000, 6.777269758327891
[INSERT], 42000, 6.7527477477477476
[INSERT], 43000, 6.769481401031768
[INSERT], 44000, 6.873389869355948
[INSERT], 45000, 6.787024649085013
[INSERT], 46000, 6.935300374601119
[INSERT], 47000, 6.874050864513769
[INSERT], 48000, 6.684354045596781
[INSERT], 49000, 6.615892577132887
[INSERT], 50000, 6.904107697618226
[INSERT], 51000, 6.812392270706704
[INSERT], 52000, 6.507844881838502
[INSERT], 53000, 6.799093278930069
[INSERT], 54000, 6.953469444702819
[INSERT], 55000, 6.667738787099064
[INSERT], 56000, 6.587310992604297
[INSERT], 57000, 6.778125212426076
[INSERT], 58000, 6.707225950782997
[INSERT], 59000, 6.606619833072739
[INSERT], 60000, 6.7623496490871755
[INSERT], 61000, 6.7632012270768955
[INSERT], 62000, 6.539259259259259
[INSERT], 63000, 6.889241379310345
[INSERT], 64000, 6.801526717557252
[INSERT], 65000, 6.580304162454397
[INSERT], 66000, 6.830695410924637
[INSERT], 67000, 6.781247165532879
[INSERT], 68000, 6.838538812785388
[INSERT], 69000, 6.681835368430417
[INSERT], 70000, 6.560568562605401
[INSERT], 71000, 6.568338551130766
[INSERT], 72000, 6.749224614554771
[INSERT], 73000, 6.524444444444445
[INSERT], 74000, 6.624326710816777
[INSERT], 75000, 6.692751677852349
[INSERT], 76000, 6.770651732080755
[INSERT], 77000, 6.65330403320681
[INSERT], 78000, 6.825784921337601
[INSERT], 79000, 6.94175925925926
[INSERT], 80000, 6.532801573426574
[INSERT], 81000, 6.828531640946032
[INSERT], 82000, 6.552483057680155
[INSERT], 83000, 6.596683008701029
[INSERT], 84000, 6.53308350944465
[INSERT], 85000, 6.598053003999473
[INSERT], 86000, 6.818414960737143
[INSERT], 87000, 6.631977105333215
[INSERT], 88000, 6.525392026794841
[INSERT], 89000, 6.871122320302648
[INSERT], 90000, 6.65131156613171
[INSERT], 91000, 6.837648401826484
[INSERT], 92000, 6.9517834778978616
[INSERT], 93000, 6.953998190549099
[INSERT], 94000, 6.679110298870044
[INSERT], 95000, 6.877802973041068
[INSERT], 96000, 6.760166181218813
[INSERT], 97000, 6.835099608841991
[INSERT], 98000, 6.722259598134195
[INSERT], 99000, 6.573737816230424
[INSERT], 100000, 6.604005482116804
[INSERT], 101000, 7.065510006836237
[INSERT], 102000, 6.741771186250533
[INSERT], 103000, 6.818601163424832
[INSERT], 104000, 6.8178538812785385
[INSERT], 105000, 6.9030417376098665
[INSERT], 106000, 6.887747126436782
[INSERT], 107000, 6.939890836231316
[INSERT], 108000, 7.141637452004484
[INSERT], 109000, 6.785822635785279
[INSERT], 110000, 6.845712850029693
[INSERT], 111000, 7.034037970831285
[INSERT], 112000, 6.7665013699250505
[INSERT], 113000, 6.7221574866669656
[INSERT], 114000, 6.796145124716554
[INSERT], 115000, 6.627954756329253
[INSERT], 116000, 6.443536420138067
[INSERT], 117000, 6.802087351106069
[INSERT], 118000, 6.93419713095789
[INSERT], 119000, 6.938164385465156
[INSERT], 120000, 6.831355970725942
[INSERT], 121000, 6.874552957359009
[INSERT], 122000, 6.6944649942834085
[INSERT], 123000, 6.788185941043084
[INSERT], 124000, 6.772259195970861
[INSERT], 125000, 6.700981930681971
[INSERT], 126000, 6.598799885283152
[INSERT], 127000, 6.634324892181798
[INSERT], 128000, 6.836421302423219
[INSERT], 129000, 6.903019276387002
[INSERT], 130000, 6.952923468797036
[INSERT], 131000, 7.00327309283894
[INSERT], 132000, 6.598281771840393
[INSERT], 133000, 6.665813715455476
[INSERT], 134000, 6.888386919231299
[INSERT], 135000, 6.711781976288129
[INSERT], 136000, 6.716072671742011
[INSERT], 137000, 6.773615525052404
[INSERT], 138000, 6.963403263403263
[INSERT], 139000, 6.87225585379783
[INSERT], 140000, 6.896347232157279
[INSERT], 141000, 6.822549443546735
[INSERT], 142000, 6.647316684378321
[INSERT], 143000, 6.555460713504049
[INSERT], 144000, 6.5643063583815024
[INSERT], 145000, 6.764288928892889
[INSERT], 146000, 6.488842625723765
[INSERT], 147000, 6.798916384000728
[INSERT], 148000, 6.656838365896981
[INSERT], 149000, 7.332886135232705
[INSERT], 150000, 6.824928118296746
[INSERT], 151000, 6.753058879199622
[INSERT], 152000, 6.772695348784522
[INSERT], 153000, 6.678838951310861
[INSERT], 154000, 6.750258276063423
[INSERT], 155000, 6.9805581395348835
[INSERT], 156000, 6.87876975454901
[INSERT], 157000, 6.793502850420777
[INSERT], 158000, 6.763878241262683
[INSERT], 159000, 6.700826669062809
[INSERT], 160000, 6.631074833543478
[INSERT], 161000, 6.74325696873942
[INSERT], 162000, 6.838625846308159
[INSERT], 163000, 6.882700577183986
[INSERT], 164000, 7.0193831981107815
[INSERT], 165000, 7.064487152211427
[INSERT], 166000, 6.5202956051621905
[INSERT], 167000, 6.672433704970461
[INSERT], 168000, 6.777151140404521
[INSERT], 169000, 6.869228648872146
[INSERT], 170000, 6.8621217661577845
[INSERT], 171000, 6.8225297071319835
[INSERT], 172000, 6.905117737955211
[INSERT], 173000, 6.8779482482253265
[INSERT], 174000, 6.887322321284586
[INSERT], 175000, 6.99456597789076
[INSERT], 176000, 7.029532403609516
[INSERT], 177000, 6.737596298542327
[INSERT], 178000, 6.509098049482916
[INSERT], 179000, 6.801661521699655
[INSERT], 180000, 6.84180559351371
[INSERT], 181000, 7.027976960150465
[INSERT], 182000, 6.689138242577019
[INSERT], 183000, 6.918160633118756
[INSERT], 184000, 6.708443063902582
[INSERT], 185000, 6.784714820274408
[INSERT], 186000, 6.777614770008577
[INSERT], 187000, 6.782251679598254
[INSERT], 188000, 6.81319730055216
[INSERT], 189000, 6.605204542948506
[INSERT], 190000, 6.675038373412231
[INSERT], 191000, 6.60100008811349
[INSERT], 192000, 6.801664701079561
[INSERT], 193000, 6.695056541366826
[INSERT], 194000, 6.997706422018348
[INSERT], 195000, 6.877363264179585
[INSERT], 196000, 6.790673974091856
[INSERT], 197000, 6.911639272459024
[INSERT], 198000, 6.69568228014921
[INSERT], 199000, 6.867873448505288
[INSERT], 200000, 6.617324223054882
[INSERT], 201000, 6.785130128320983
[INSERT], 202000, 6.8883218252776945
[INSERT], 203000, 6.872048412879653
[INSERT], 204000, 6.7914938934584095
[INSERT], 205000, 6.747472245366722
[INSERT], 206000, 6.528811262186858
[INSERT], 207000, 6.762709572742023
[INSERT], 208000, 6.928079022855557
[INSERT], 209000, 6.725789461888433
[INSERT], 210000, 6.763706982205763
[INSERT], 211000, 6.712452610090406
[INSERT], 212000, 6.634361622313429
[INSERT], 213000, 6.675887649989945
[INSERT], 214000, 6.701357768711123
[INSERT], 215000, 6.850797136256547
[INSERT], 216000, 6.683965313537975
[INSERT], 217000, 6.505773672055427
[INSERT], 218000, 6.503469812630118
[INSERT], 219000, 6.435356767086813
[INSERT], 220000, 6.560812294182218
[INSERT], 221000, 6.766656889510616
[INSERT], 222000, 6.719773708101339
[INSERT], 223000, 6.648948025318712
[INSERT], 224000, 6.611808461180846
[INSERT], 225000, 6.4673082756528695
